itemname,Cuisine
roasted chicken,continental / european
grilled chicken,continental / european
pike perch fillet,continental / european
beef rago�t,continental / european
braised lamb shank with borlotti beans,italian
braised lamb shank with borlotti beans??,italian
chicken biryani,indian
pan seared chicken,continental / european
prawn machbous,middle eastern / gulf
lemon and herb chicken,continental / european
seafood machboos,middle eastern / gulf
pan-seared chicken,continental / european
prawns machbous,middle eastern / gulf
prawn biryani,indian
panfried cod filet,continental / european
seafood � l'armoricaine,continental / european
mughlai chicken,indian
sayadieh,middle eastern / gulf
braised lamb shank,continental / european
grilled beef tenderloin,continental / european
chicken with mustard and pine nut crumble,continental / european
grilled black cod fillet,continental / european
mixed grill,middle eastern
coconut braised beef short ribs,asian
lamb loin,continental / european
lamb roulade,continental / european
confit chicken with porcini mushroom sauce and polenta,continental / european
grilled lamb rack,continental / european
roasted beef tenderloin,continental / european
roasted beef fillet,continental / european
braised lamb shank with rosemary,continental / european
grilled beef fillet,continental / european
lamb tagine,north african
poached trout fillet,continental / european
grilled lamb loin,continental / european
confit chicken,continental / european
roasr beef tenderloin,continental / european
braised veal cheeks,continental / european
confit chicken with porcini mushroom sauce,continental / european
beef tenderloin,continental / european
seared beef tenderloin,continental / european
lamb loin / leaf spinach / chanterelles,continental / european
pan fried beef tenderlion,continental / european
grilled lamb of rack,continental / european
boiled beef with apple and horseradish pur�e,german
braised beef brisket,continental / european
rogan josh,indian
steamed ocean trout,continental / european
steamed oceantrout,continental / european
thai green prawn curry,thai
lamb biryani,indian
chicken machbous,middle eastern / gulf
lamb ragout with mashed potatoes,continental / european
chicken woth mashed potato,continental / european
badami murgh,indian
chicken baharat,middle eastern
stri fried prawns with cucumber,asian / chinese
grilled seabass fillet,continental / european
prawns with garlic and coriander,asian
stir fried prawns with cucumber,asian / chinese
stir-fried prawns with cucumber- garlic glazed vegetables and steamed jasmine rice,asian / chinese
grilled pike-perch fillet,continental / european
seafood a larmlricaine,continental / european
grilled beef,continental / european
mughali chicken,indian
badami murg,indian
roasted chicken fillet,continental / european
roast turkey,continental / european
dukkah-crusted chicken,middle eastern
grilled cod,continental / european
grilled king prawns,continental / european
grilled monkfish fillet,continental / european
prawn machbous?,middle eastern / gulf
dukkah crustedchiclen,middle eastern
chilli chicken,asian / chinese
pepper steak,continental / european
pan-seared cod with ginger and soy,asian
slow-braised lamb shank,continental / european
asam pedas prawns,indonesian
grilled beef fillet with onion jus,continental / european
pan-seared chicken with lemon and sage jus,continental / european
murgh do pyaza,indian
pan-seared salmon fillet,continental / european
seafood machbous,middle eastern / gulf
dukka-crusted chicken,middle eastern
dukkah crusted chicken,middle eastern
dukkah crushed chicken,middle eastern
grilled sea bass fillet,continental / european
lamb rago�t,continental / european
beef fillet with chilli butter,continental / european
grilled beef tenderloin with mushroom jus and polenta cake,continental / european
grilled beef tendeloin,continental / european
chicken filled with cheese and spinach,continental / european
roast chicken,continental / european
chicken roasted,continental / european
roasted chicken with vegetables,continental / european
grilled pike-perch fillet.,continental / european
slow-braised lamb with marjoram,continental / european
butter chicken,indian
grilled beef filet,continental / european
grilled beef loin,continental / european
grilled chicken with herb butter,continental / european
seared chicken breast with potatoes,continental / european
pan-fried beef fillet,continental / european
pan-fried beef fillet with potatoes and vegetables,continental / european
roasted seabass filet,continental / european
oven-baked sea bass,continental / european
salmon massaman curry,thai
salmon on squid ink noodles,continental / european
chicken chettinad,indian
chicken with porcini mushroom,continental / european
confit chicken w porcini mushroom sauce,continental / european
confit chicken with porcini mushroom sauc,continental / european
roasted sea bass fillet,asian
roasted sea bass fillet,continental / european
roasted sea bass,asian
ragan josh : lamb curry,indian
beef fillet with wild mushrooms,continental / european
grilled salmon with parsley cream,continental / european
grilled pike perch fillet,continental / european
john dory with tomato and caper salsa,continental / european
grilled pike perch,continental / european
roasted beef short ribs,continental / european
chicken with creamy mushroom sauce,continental / european
roast lamb with lemon pepper jus,continental / european
tandoori chicken,indian
seafood with chive velout�,continental / european
grilled seafood,continental / european
grilled baby chicken,continental / european
seared nile perch,continental / european
shahi murgh korma,indian
chicken biriyani,indian
bangalore chicken,indian
grilled monfish fillet,continental / european
chicken bityani,indian
searred nile perch,continental / european
grilled monk fish fillet,continental / european
lemon and herb chx,continental / european
lemon herb chicken,continental / european
grilled pike-perch fillet ( fish ),continental / european
chicken madras,indian
"rogan josh, spicy lamb curry with veg masala and pulao",indian
grilled monkfish,continental / european
chicken badami,indian
dukkah-coated lamb,middle eastern
beef short ribs,continental / european
chicken with mustard sauce,continental / european
chilean sea bass en papillote,continental / european
chicken baharat?,middle eastern
roasted duck with rosemary,continental / european
seafood a l'armoricaine,continental / european
chicken with middle eastern spices,middle eastern
roasted chit,continental / european
roasred sea bass fillet,continental / european
miso glazed cod,asian / japanese
"roasted sea bass fillet, served with steamed pak choi and japanese rice",asian
baked fillet of hake,continental / european
roasted salmon,continental / european
miso-glazed cod,asian / japanese
"grilled trout fillet, creamy spinach",continental / european
poached salmon trout with creamed spinach,continental / european
miso cod,asian / japanese
cicken middle east spices,middle eastern
chx schnitzel,continental / european
chicken schnitzel,continental / european
grilled trout with spinach coulis,continental / european
"chicken baharat - arabic seven-spice, fragrant rice with minced lamb, fried cashew nuts and pistachios",middle eastern
seafood � l'armoricaine,continental / european
roasted turkey,continental / european
stir-fried prawns with cucumber,asian / chinese
seafood al almoricane,continental / european
chicken fillet wth cheese and spmiach,continental / european
festive turkey,continental / european
poached trout filet,continental / european
stir-fried prawns witth cucmber,asian / chinese
stir fried prawns,asian / chinese
seared chicken with potato tarien and vegitables,continental / european
pan fired cod,continental / european
grilled pike perche fillet,continental / european
mughlai chiken ?,indian
chicken schnitzel sandwich,continental / european
prawn curry with lemongrass,indian ocean / mauritian
grilled jobfish,indian ocean / mauritian
thai yellow chicken curry,thai
dukkha crusted chicken,middle eastern
chicken with wild mushroom sauce,continental / european
grilled beef tenderloin with chimichurri,argentinian
mauritian chicken curry,indian ocean / mauritian
beef roulade,continental / european
stir-fried prawns with cucumber?,asian / chinese
pan-seared trout with creamed spinach,continental / european
seafood harra,middle eastern / gulf
saffron lamb loin,middle eastern / iranian
braised lamb shank with bortoli beans,italian
thai green curry prawns with rice,thai
braised lamb shano with borlotti beans,italian
grilled beef with mashed potatoes,continental / european
braised lamb shankwith rosemarie,continental / european
brasied lamb,continental / european
roased beef short ribs,continental / european
"beef roulade - with beef jus, potato dumplings and braised red cabbage",german
beef ribs,continental / european
braised lamb shank with borlottombeans,italian
roasted beef ribs,continental / european
grilled lambrack,continental / european
chicken schnitzel and swiss cheese sandwich,continental / european
chicken snitzel and swiss cheese sandwich,continental / european
chix beryani,indian
braised lamb shoulder,continental / european
slow-cooked beef short ribs,continental / european
pan-fried beef tenderloin,continental / european
pan-fried cod fillet,continental / european
pan-fried cod,continental / european
grilled beef fillet with b�arnaise sauce,continental / european
chicken schnitzel and swiss cheese sandwhich.,continental / european
seared beef tenderllion,continental / european
seared chicken fillet with sage jus,continental / european
seared chicken with sage jus,continental / european
chichen schnitzel and swiss cheese sandwich?????,continental / european
shnitzel sandwich,continental / european
chicken sandwich,continental / european
chicken schitzel sandwich,continental / european
coconut braised beef,asian
peawn machbous,middle eastern / gulf
pan seared chiken,continental / european
chef toanas favourite poached salmon trout with creamed spinach,continental / european
prawn machbus,middle eastern / gulf
pan- seared chicken,continental / european
roasted beef short ribs?,continental / european
roast turkey?,continental / european
confit chicken with mushroom sauce,continental / european
dukkah- crusted chicken,middle eastern
roasted seabass fillet,asian
gtilled cod,continental / european
roasred beef tenderloin,continental / european
rojan josh,indian
beef ragout,continental / european
chicken scnitzel and swiss cheese sandwich,continental / european
lamb ragout,continental / european
chicken schitzel and swiss cheese sandwich,continental / european
rosted chicken fillet,continental / european
